src,dst,volume,path_nodes
14724,15973,300.0,"[14724, 15973]"
11568,15973,1.0,"[11568, 15973]"
13431,15973,300.0,"[13431, 15973]"
10708,13856,1.0,"[10708, 13474, 13856]"
10327,16219,300.0,"[10327, 16219]"
10044,17495,1.0,"[10044, 17495]"
16219,17770,1.0,"[16219, 17770]"
12985,19539,300.0,"[12985, 19539]"
10044,16916,300.0,"[10044, 16916]"
19180,12985,5.0000001,"[19180, 12985]"
19180,12985,294.999999,"[19180, 12627, 12985]"
16991,13474,1.0,"[16991, 13474]"
19311,13570,76.0,"[19311, 13570]"
10708,17822,1.0,"[10708, 17784, 17822]"
18144,12627,11.0,"[18144, 12627]"
18144,13503,1.0,"[18144, 19921, 13503]"
17547,19180,1.0,"[17547, 19180]"
18863,14252,1.0,"[18863, 16991, 14252]"
17784,16133,234.0,"[17784, 16133]"
10570,10376,300.0,"[10570, 10376]"
10708,19180,246.0,"[10708, 19180]"
19311,11117,227.0,"[19311, 11117]"
10570,13651,1.0,"[10570, 13651]"
10303,19956,107.0000009,"[10303, 19956]"
10303,19956,113.99999910000001,"[10303, 17547, 19956]"
12627,14252,300.0,"[12627, 14252]"
19469,13179,185.0,"[19469, 13179]"
13651,10570,300.0,"[13651, 10570]"
18144,14252,37.0,"[18144, 14252]"
11461,10270,1.0,"[11461, 10270]"
10270,12952,300.0,"[10270, 12952]"
11461,11117,300.0,"[11461, 11117]"
15872,18978,1.0,"[15872, 18978]"
19371,18978,128.0,"[19371, 15401, 18978]"
11461,17770,265.0,"[11461, 17770]"
10270,11168,1.0,"[10270, 11168]"
10570,11117,300.0,"[10570, 11117]"
16053,13179,1.0,"[16053, 14070, 13179]"
16991,19956,144.0,"[16991, 19956]"
13179,15872,300.0,"[13179, 15872]"
19185,11267,1.0,"[19185, 11267]"
16262,16053,300.0,"[16262, 16053]"
11461,14252,214.0,"[11461, 14252]"
14005,12627,300.0,"[14005, 12627]"
15872,13474,1.0,"[15872, 18144, 13474]"
11267,16366,300.0,"[11267, 16366]"
18863,13523,147.00000022,"[18863, 13523]"
18863,13523,18.99999978,"[18863, 16991, 13523]"
15973,15204,1.0,"[15973, 13523, 15204]"
18863,11117,300.0,"[18863, 11117]"
18144,18577,1.0,"[18144, 18577]"
18863,13578,300.0,"[18863, 13578]"
12627,18978,1.0,"[12627, 13474, 18978]"
13503,18849,1.0,"[13503, 18849]"
15973,19338,1.0,"[15973, 19338]"
16366,18978,1.0,"[16366, 12364, 18978]"
12985,13101,1.0,"[12985, 13474, 13101]"
10044,19171,4.0,"[10044, 19171]"
10303,13503,300.0,"[10303, 13503]"
13680,17770,101.000001,"[13680, 17770]"
13680,17770,198.999999,"[13680, 15262, 17770]"
11461,15506,1.0,"[11461, 15506]"
12364,12985,1.0,"[12364, 16133, 12985]"
15872,14252,112.0,"[15872, 14252]"
19921,16916,136.0,"[19921, 16916]"
19311,12280,1.0,"[19311, 12280]"
11267,12627,1.0,"[11267, 12627]"
17784,12952,1.0,"[17784, 10904, 12952]"
10303,18577,1.0,"[10303, 11461, 18577]"
16991,14376,184.0,"[16991, 14376]"
17784,18577,1.0,"[17784, 18577]"
15872,19469,300.0,"[15872, 19469]"
11027,18978,230.0,"[11027, 18978]"
10303,17535,233.0,"[10303, 17535]"
15872,17535,300.0,"[15872, 17535]"
14724,13570,163.0,"[14724, 10178, 13570]"
11267,18144,1.0,"[11267, 18144]"
16219,12627,1.0,"[16219, 12627]"
10570,15206,1.0,"[10570, 15206]"
10904,15872,300.0,"[10904, 15872]"
19469,11267,1.0,"[19469, 11267]"
19311,11472,1.0,"[19311, 11472]"
15872,10659,1.0,"[15872, 10659]"
13503,10178,300.0,"[13503, 10178]"
16991,14444,300.0,"[16991, 14444]"
19921,19542,1.0,"[19921, 19542]"
15872,17784,1.0,"[15872, 12627, 17784]"
13503,10376,300.0,"[13503, 10376]"
18978,11027,300.0,"[18978, 11027]"
14005,13523,300.0,"[14005, 13523]"
16991,15916,283.0,"[16991, 15916]"
10270,10178,159.0,"[10270, 10178]"
17547,12663,300.0,"[17547, 12663]"
16991,15286,300.0,"[16991, 15286]"
17535,11267,180.0,"[17535, 11267]"
17535,11267,116.000001,"[17535, 13431, 11267]"
17535,11267,3.9999998999999997,"[17535, 12214, 11267]"
15401,18182,65.0000002,"[15401, 13578, 18182]"
15401,18182,89.9999998,"[15401, 16133, 18182]"
11461,13183,122.0,"[11461, 13183]"
13503,14724,300.0,"[13503, 14724]"
10570,19469,300.0,"[10570, 19469]"
19171,16219,300.0,"[19171, 16219]"
16219,14252,1.0,"[16219, 14252]"
10570,13578,1.0,"[10570, 13578]"
11267,19469,1.0,"[11267, 19469]"
16219,10178,300.0,"[16219, 10178]"
11267,15973,1.0,"[11267, 15973]"
12627,15206,1.0,"[12627, 15206]"
16053,12379,68.0,"[16053, 12379]"
12985,18978,252.999999,"[12985, 18978]"
12985,18978,47.000001000000005,"[12985, 13474, 18978]"
12663,14252,1.0,"[12663, 14252]"
11214,10270,1.0,"[11214, 15401, 10270]"
15872,14444,1.0,"[15872, 14444]"
18144,11117,1.0,"[18144, 11117]"
16991,19542,85.0,"[16991, 19542]"
18978,15262,33.0,"[18978, 16053, 15262]"
18978,15262,267.0,"[18978, 18182, 15262]"
10044,11117,1.0,"[10044, 11117]"
18863,17312,1.0,"[18863, 17312]"
10708,14076,1.0,"[10708, 17784, 14076]"
16916,15916,165.0,"[16916, 15916]"
18863,14005,1.0,"[18863, 16991, 14005]"
14005,15286,1.0,"[14005, 15286]"
13578,12985,90.0,"[13578, 12985]"
10044,10659,74.0,"[10044, 10178, 10659]"
16366,12985,87.0,"[16366, 12985]"
19311,11861,300.0,"[19311, 11861]"
14724,15506,130.0,"[14724, 15506]"
11461,15747,99.0,"[11461, 15747]"
11461,14070,1.0,"[11461, 14070]"
11267,13578,1.0,"[11267, 13578]"
18476,14070,236.0,"[18476, 14070]"
15973,18144,300.0,"[15973, 18144]"
14005,13856,300.0,"[14005, 13856]"
12627,13503,52.0,"[12627, 13503]"
15872,16219,1.0,"[15872, 16219]"
14005,15916,300.0,"[14005, 15916]"
19539,19311,1.0,"[19539, 15747, 19311]"
16262,17495,1.0,"[16262, 17495]"
18978,19338,300.0,"[18978, 19338]"
18144,19956,183.0,"[18144, 19956]"
14005,15401,300.0,"[14005, 15401]"
16262,18577,295.0,"[16262, 18577]"
11461,10659,1.0,"[11461, 10178, 10659]"
10044,14070,8.0,"[10044, 14070]"
19921,19956,300.0,"[19921, 19956]"
10303,13101,1.0,"[10303, 17547, 13101]"
18144,15028,1.0,"[18144, 10989, 15028]"
10570,12627,96.0,"[10570, 12627]"
11461,14076,8.0,"[11461, 14076]"
16991,15401,225.0,"[16991, 15401]"
16053,12627,269.99999916,"[16053, 12627]"
16053,12627,0.9999999999,"[16053, 19542, 12627]"
12627,16219,1.0,"[12627, 16219]"
12985,15206,103.0,"[12985, 15206]"
18863,19180,89.9999999,"[18863, 19180]"
18863,19180,5.0000000049999995,"[18863, 16991, 19180]"
19311,14076,224.0,"[19311, 14076]"
12627,13431,97.0,"[12627, 13431]"
17784,13651,1.0,"[17784, 13651]"
18863,17770,300.0,"[18863, 17770]"
14005,19180,1.0,"[14005, 19180]"
13503,14252,33.0,"[13503, 14252]"
14724,18577,45.0,"[14724, 18577]"
19311,16991,300.0,"[19311, 16991]"
16262,18144,269.0,"[16262, 18144]"
10708,12663,300.0,"[10708, 12663]"
14005,10178,64.0,"[14005, 10178]"
19180,15973,300.0,"[19180, 15973]"
14005,10659,300.0,"[14005, 10659]"
16219,17535,22.0,"[16219, 17535]"
10570,18446,1.0,"[10570, 15206, 18446]"
10708,16219,196.0,"[10708, 16219]"
19311,18446,300.0,"[19311, 18446]"
12985,15747,1.0,"[12985, 15747]"
16219,13183,300.0,"[16219, 13183]"
10044,18863,300.0,"[10044, 18863]"
12573,16053,216.0,"[12573, 16053]"
11267,18577,1.0,"[11267, 18577]"
18863,16262,95.0,"[18863, 16262]"
10044,17770,1.0,"[10044, 17770]"
11267,14070,300.0,"[11267, 14070]"
18978,11472,300.0,"[18978, 11472]"
19371,19338,1.0,"[19371, 15401, 19338]"
13503,18446,300.0,"[13503, 18446]"
17535,15872,179.000001,"[17535, 13431, 15872]"
17535,15872,120.999999,"[17535, 19311, 15872]"
11461,14444,274.0,"[11461, 14444]"
11117,15401,1.0,"[11117, 15401]"
17784,16366,300.0,"[17784, 16366]"
10570,19338,1.0,"[10570, 19338]"
19311,18577,1.0,"[19311, 18577]"
16916,10570,1.0,"[16916, 10708, 10570]"
16991,17822,1.0,"[16991, 18863, 17822]"
19921,15747,1.0,"[19921, 15747]"
14724,18849,270.0,"[14724, 19180, 18849]"
19311,15028,3.9999998999999997,"[19311, 15028]"
19311,15028,296.000001,"[19311, 18476, 15028]"
19921,17770,300.0,"[19921, 17770]"
17535,10270,1.0,"[17535, 13431, 10270]"
19311,10327,215.0,"[19311, 10327]"
14252,11267,300.0,"[14252, 11267]"
11117,11267,296.0,"[11117, 11267]"
11461,11568,1.0,"[11461, 10178, 11568]"
17784,18863,1.0,"[17784, 18863]"
11267,19180,300.0,"[11267, 19180]"
11461,19311,300.0,"[11461, 19311]"
16219,11168,300.0,"[16219, 11168]"
15973,11168,29.0,"[15973, 11168]"
14005,10904,300.0,"[14005, 10904]"
10270,13250,300.0,"[10270, 13250]"
15872,18446,1.0,"[15872, 10044, 18446]"
16053,15973,71.0,"[16053, 15973]"
10327,11267,1.0,"[10327, 11267]"
14005,17784,300.0,"[14005, 17784]"
11267,12985,300.0,"[11267, 12985]"
10270,10327,300.0,"[10270, 10327]"
10708,14376,18.0,"[10708, 14376]"
18863,19185,148.0,"[18863, 19185]"
16219,19542,158.0,"[16219, 19542]"
10303,17784,96.99999918,"[10303, 17784]"
10303,17784,197.00000082,"[10303, 10044, 17784]"
14005,16916,300.0,"[14005, 16916]"
11267,17312,1.0,"[11267, 15747, 17312]"
11461,19338,1.0,"[11461, 13474, 19338]"
14724,12663,1.0,"[14724, 15506, 12663]"
16219,10708,300.0,"[16219, 10708]"
18144,10044,1.0,"[18144, 10044]"
10570,19171,268.0,"[10570, 19171]"
10044,13474,300.0,"[10044, 13474]"
19921,15916,292.0,"[19921, 15916]"
12985,15401,1.0,"[12985, 15401]"
13503,15262,90.0,"[13503, 15262]"
16991,13101,1.0,"[16991, 13101]"
10270,10708,43.0,"[10270, 10708]"
10044,13101,1.0,"[10044, 13101]"
15401,16133,1.0,"[15401, 11861, 16133]"
13503,18182,300.0,"[13503, 18182]"
10044,15262,1.0,"[10044, 13179, 15262]"
10270,14444,1.0,"[10270, 14724, 14444]"
16133,15401,1.0,"[16133, 15401]"
16053,18144,1.0,"[16053, 19542, 18144]"
16053,13183,46.0,"[16053, 13183]"
12985,14444,1.0,"[12985, 14444]"
19921,15206,1.0,"[19921, 15206]"
16991,16133,300.0,"[16991, 16133]"
18863,19956,300.0,"[18863, 19956]"
10303,18182,1.0,"[10303, 19469, 18182]"
18978,17770,224.0,"[18978, 17770]"
10270,13431,1.0,"[10270, 13431]"
14005,15204,1.0,"[14005, 15204]"
19311,11168,1.0,"[19311, 11168]"
11472,15973,1.0,"[11472, 15973]"
12280,15973,1.0,"[12280, 15973]"
11461,15401,189.0,"[11461, 15401]"
18144,12280,300.0,"[18144, 12280]"
10270,10570,97.0,"[10270, 10570]"
14724,13474,45.0,"[14724, 13474]"
19311,12952,1.0,"[19311, 18476, 12952]"
12627,10751,174.0,"[12627, 10751]"
16262,15401,154.0,"[16262, 15401]"
10270,10904,300.0,"[10270, 10904]"
10708,16366,1.0,"[10708, 18577, 16366]"
16262,14724,300.0,"[16262, 14724]"
13503,17770,300.0,"[13503, 17770]"
15973,10904,40.0,"[15973, 10904]"
16053,15028,300.0,"[16053, 15028]"
16991,18446,300.0,"[16991, 18446]"
17547,10327,300.0,"[17547, 10327]"
18863,15401,199.0,"[18863, 15401]"
10270,14376,1.0,"[10270, 14376]"
12985,13578,300.0,"[12985, 13578]"
16219,18476,300.0,"[16219, 18476]"
15973,10570,288.0,"[15973, 10570]"
13503,13523,63.0,"[13503, 13523]"
11267,19956,1.0,"[11267, 19956]"
17547,17822,300.0,"[17547, 17822]"
10270,18849,240.0,"[10270, 18849]"
12573,12985,1.0,"[12573, 12985]"
16219,18577,300.0,"[16219, 18577]"
18446,11267,67.0,"[18446, 11267]"
13578,18182,1.0,"[13578, 18182]"
17547,14724,1.0,"[17547, 14724]"
12627,13578,1.0,"[12627, 19542, 13578]"
15872,19338,297.0,"[15872, 19338]"
17547,18577,41.0,"[17547, 18577]"
11267,10904,1.0,"[11267, 10904]"
14005,17822,300.0,"[14005, 17822]"
10270,14076,1.0,"[10270, 14076]"
18863,15973,80.0,"[18863, 16991, 15973]"
16219,15506,1.0,"[16219, 15506]"
17547,19171,300.0,"[17547, 19171]"
12985,13856,135.0,"[12985, 13856]"
16262,15292,1.0,"[16262, 13183, 15292]"
12627,17770,1.0,"[12627, 17770]"
16262,19542,1.0,"[16262, 19542]"
10570,14444,128.0,"[10570, 14444]"
13503,12214,174.0,"[13503, 12214]"
19311,14252,300.0,"[19311, 14252]"
15973,13101,107.0,"[15973, 13101]"
13503,19338,1.0,"[13503, 19338]"
18978,11267,67.0,"[18978, 11267]"
10570,10178,181.0,"[10570, 10178]"
13431,10270,1.0,"[13431, 10270]"
16991,12663,1.0,"[16991, 12663]"
12985,10570,1.0,"[12985, 10570]"
12627,13474,1.0,"[12627, 13474]"
10303,13179,1.0,"[10303, 10044, 13179]"
19311,17495,1.0,"[19311, 17495]"
13680,16219,52.0,"[13680, 15028, 16219]"
18144,11214,203.0,"[18144, 11214]"
12757,15872,1.0,"[12757, 15872]"
19921,12280,1.0,"[19921, 12280]"
17495,19311,1.0,"[17495, 19311]"
10570,11861,300.0,"[10570, 11861]"
12627,17312,1.0,"[12627, 17312]"
10270,19956,1.0,"[10270, 19956]"
16053,11117,191.0,"[16053, 11117]"
16991,11568,300.0,"[16991, 11568]"
12627,13179,1.0,"[12627, 10044, 13179]"
14724,18446,146.0,"[14724, 18446]"
19311,12663,300.0,"[19311, 12663]"
18144,10904,221.0,"[18144, 10904]"
11267,18978,300.0,"[11267, 18978]"
10303,10044,300.0,"[10303, 10044]"
10044,18476,1.0,"[10044, 18476]"
10044,19338,1.0,"[10044, 19338]"
11267,16133,285.0,"[11267, 16133]"
16991,18849,300.0,"[16991, 18849]"
14724,12627,300.0,"[14724, 12627]"
18978,16133,300.0,"[18978, 16133]"
10708,19539,25.0,"[10708, 19185, 19539]"
19311,10708,273.0,"[19311, 10708]"
17784,10570,300.0,"[17784, 10570]"
14724,10376,300.0,"[14724, 10376]"
16133,10270,1.0,"[16133, 10270]"
11461,18144,1.0,"[11461, 15872, 18144]"
18446,12985,300.0,"[18446, 12985]"
16053,13523,1.0,"[16053, 13523]"
14005,13474,1.0,"[14005, 13474]"
17784,14444,236.0,"[17784, 14444]"
12757,11267,1.0,"[12757, 10989, 11267]"
13503,18978,110.0,"[13503, 18978]"
10270,16133,1.0,"[10270, 16133]"
12985,19469,114.0,"[12985, 19469]"
13503,10570,283.0,"[13503, 10570]"
10303,15973,1.0,"[10303, 15973]"
10044,13570,300.0,"[10044, 13570]"
11267,14076,103.0,"[11267, 14076]"
15506,15872,300.0,"[15506, 15872]"
15401,12952,73.0000005,"[15401, 10989, 12952]"
15401,12952,208.99999949999997,"[15401, 13856, 12952]"
15973,19171,1.0,"[15973, 19542, 19171]"
10570,15262,94.0,"[10570, 15262]"
11267,17770,252.0,"[11267, 17770]"
18863,13474,1.0,"[18863, 16991, 13474]"
19311,18863,300.0,"[19311, 18863]"
10270,15506,300.0,"[10270, 15506]"
14005,18182,300.0,"[14005, 18182]"
17770,16053,90.0,"[17770, 16053]"
10570,10751,300.0,"[10570, 10751]"
16053,12663,1.0,"[16053, 12663]"
15973,19185,1.0,"[15973, 19185]"
10303,18863,1.0,"[10303, 18863]"
16219,12952,300.0,"[16219, 12952]"
18978,12952,120.0,"[18978, 10989, 12952]"
18978,12952,180.0,"[18978, 15204, 12952]"
10303,13431,300.0,"[10303, 13431]"
19311,19539,168.0,"[19311, 19539]"
16133,16219,1.0,"[16133, 16219]"
11267,12663,192.0,"[11267, 12663]"
15872,18476,1.0,"[15872, 18476]"
19311,13179,57.0,"[19311, 13179]"
12985,10044,28.0,"[12985, 10044]"
14724,13183,1.0,"[14724, 13183]"
16262,16219,300.0,"[16262, 16219]"
14005,10570,28.0,"[14005, 10570]"
16262,13431,180.00000028,"[16262, 13431]"
16262,13431,7.9999999079999995,"[16262, 17535, 13431]"
12985,13570,218.0,"[12985, 13570]"
19311,14376,271.0,"[19311, 14376]"
16053,17535,30.0,"[16053, 17535]"
16053,17535,270.0,"[16053, 12379, 17535]"
12985,13503,300.0,"[12985, 13503]"
12627,19185,300.0,"[12627, 19185]"
18144,19311,1.0,"[18144, 19311]"
11214,12985,1.0,"[11214, 15401, 12985]"
19371,15872,261.0,"[19371, 15872]"
19371,15872,39.0,"[19371, 15401, 15872]"
16991,12627,300.0,"[16991, 12627]"
10376,16219,126.0,"[10376, 15401, 16219]"
15872,10570,1.0,"[15872, 10570]"
10303,12280,64.0,"[10303, 12280]"
17547,19469,300.0,"[17547, 19469]"
13503,13578,1.0,"[13503, 13578]"
11267,13179,1.0,"[11267, 13179]"
15286,15973,1.0,"[15286, 15973]"
10708,18446,47.0,"[10708, 18446]"
18144,19542,1.0,"[18144, 19542]"
17784,15204,18.0,"[17784, 15204]"
15916,10570,300.0,"[15916, 10570]"
17547,14076,300.0,"[17547, 14076]"
18863,14724,1.0,"[18863, 16991, 14724]"
17547,11472,1.0,"[17547, 11472]"
11461,13651,1.0,"[11461, 13651]"
13503,13856,270.0,"[13503, 13856]"
15872,16262,1.0,"[15872, 16262]"
11461,10376,270.0,"[11461, 10376]"
10570,15401,1.0,"[10570, 15401]"
19371,10376,300.0,"[19371, 10376]"
18144,13474,204.0,"[18144, 13474]"
14724,19311,1.0,"[14724, 10270, 19311]"
10708,15206,32.000001000000005,"[10708, 18446, 15206]"
10708,15206,267.999999,"[10708, 10570, 15206]"
19921,16991,1.0,"[19921, 15506, 16991]"
15973,10044,300.0,"[15973, 10044]"
19921,15973,300.0,"[19921, 15973]"
12985,17770,1.0,"[12985, 10904, 17770]"
11168,18182,1.0,"[11168, 18182]"
11267,14376,1.0,"[11267, 14376]"
10904,13179,1.0,"[10904, 13179]"
12985,15204,102.0,"[12985, 15204]"
18863,19542,300.0,"[18863, 19542]"
13856,12985,279.0,"[13856, 12985]"
10270,18863,297.0,"[10270, 18863]"
18863,15028,1.0,"[18863, 10989, 15028]"
15292,18978,1.0,"[15292, 18978]"
16219,10570,300.0,"[16219, 10570]"
12627,18182,300.0,"[12627, 18182]"
16219,15916,1.0,"[16219, 15916]"
19921,10708,300.0,"[19921, 10708]"
14724,16991,177.0,"[14724, 16991]"
14724,16991,122.99999999999999,"[14724, 17822, 16991]"
14005,12952,300.0,"[14005, 12952]"
10570,12663,184.0,"[10570, 12663]"
18863,12627,1.0,"[18863, 16991, 12627]"
10570,18978,1.0,"[10570, 18978]"
15506,14724,27.0,"[15506, 14724]"
12627,17784,300.0,"[12627, 17784]"
18863,11568,90.0,"[18863, 11568]"
12985,16219,300.0,"[12985, 16219]"
17784,14070,300.0,"[17784, 14070]"
10270,11861,300.0,"[10270, 11861]"
19311,18144,1.0,"[19311, 18144]"
10044,13431,9.0,"[10044, 13431]"
15872,14376,1.0,"[15872, 14376]"
13503,10708,217.0,"[13503, 10708]"
11267,17495,300.0,"[11267, 17495]"
17784,13856,1.0,"[17784, 13856]"
15973,10376,300.0,"[15973, 10376]"
19311,18978,287.0,"[19311, 18978]"
16219,19311,300.0,"[16219, 19311]"
12627,17535,125.0,"[12627, 17535]"
12627,15506,300.0,"[12627, 15506]"
19311,10178,223.0,"[19311, 10178]"
15973,12280,1.0,"[15973, 19542, 12280]"
11461,10044,1.0,"[11461, 10044]"
10570,14252,281.0,"[10570, 14252]"
15973,11472,1.0,"[15973, 11472]"
15872,13179,1.0,"[15872, 13179]"
12627,19171,276.0,"[12627, 19171]"
13523,12985,1.0,"[13523, 12985]"
10708,18863,300.0,"[10708, 18863]"
10303,11214,44.0,"[10303, 11214]"
11267,19338,257.0,"[11267, 19338]"
12364,18978,1.0,"[12364, 18978]"
16991,19185,1.0,"[16991, 19185]"
19171,11267,69.0,"[19171, 11267]"
16053,18577,291.0,"[16053, 18577]"
19311,13503,13.0,"[19311, 13503]"
16053,14252,108.0,"[16053, 14252]"
11461,10178,1.0,"[11461, 10178]"
17784,16219,1.0,"[17784, 16219]"
19371,15401,1.0,"[19371, 15401]"
11461,18978,184.0,"[11461, 18978]"
15872,19956,128.0,"[15872, 19956]"
19185,10270,300.0,"[19185, 11267, 10270]"
18863,11861,300.0,"[18863, 11861]"
14005,18144,278.0,"[14005, 18144]"
10044,12627,76.0,"[10044, 12627]"
10270,13651,300.0,"[10270, 13651]"
10044,16133,113.0,"[10044, 16133]"
13680,12952,1.0,"[13680, 12952]"
18863,17822,300.0,"[18863, 17822]"
10044,14076,1.0,"[10044, 14076]"
16053,15506,1.0,"[16053, 19542, 15506]"
12627,10327,1.0,"[12627, 19542, 10327]"
16219,11117,1.0,"[16219, 11117]"
16219,19185,1.0,"[16219, 19185]"
